"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2019","7,112.47","7,156.24","7,162.24","7,104.55","164.73M","-0.62%"
"03/05/2019","7,156.78","7,156.66","7,178.30","7,120.69","181.03M","0.08%"
"03/04/2019","7,150.83","7,193.88","7,205.94","7,073.40","200.62M","-0.01%"
"03/01/2019","7,151.57","7,152.08","7,159.96","7,101.07","182.81M","0.76%"
"02/28/2019","7,097.52","7,093.20","7,125.92","7,081.92","231.61M","-0.27%"
"02/27/2019","7,117.01","7,095.75","7,125.78","7,045.41","166.32M","-0.09%"
"02/26/2019","7,123.22","7,098.97","7,144.65","7,087.14","162.75M","0.11%"
"02/25/2019","7,115.43","7,144.34","7,161.73","7,111.78","179.06M","0.35%"
"02/22/2019","7,090.62","7,055.20","7,094.29","7,050.01","197.94M","0.79%"
"02/21/2019","7,035.16","7,047.08","7,063.07","7,001.80","158.19M","-0.38%"
"02/20/2019","7,062.34","7,070.23","7,096.15","7,027.37","169.85M","-0.06%"
"02/19/2019","7,066.61","7,033.37","7,089.10","7,032.78","150.46M","0.16%"
"02/15/2019","7,055.18","7,066.38","7,073.99","7,022.30","202.53M","0.47%"
"02/14/2019","7,022.42","6,986.51","7,047.88","6,969.69","168.00M","0.09%"
"02/13/2019","7,015.88","7,038.32","7,062.58","7,009.73","168.57M","0.02%"
"02/12/2019","7,014.67","6,960.55","7,021.76","6,948.33","188.91M","1.53%"
"02/11/2019","6,909.19","6,941.26","6,958.33","6,893.80","166.33M","-0.06%"
"02/08/2019","6,913.13","6,843.33","6,914.56","6,836.70","168.04M","0.12%"
"02/07/2019","6,904.98","6,934.33","6,954.77","6,854.35","204.46M","-1.32%"
"02/06/2019","6,997.62","7,023.89","7,034.94","6,969.83","193.60M","-0.37%"
"02/05/2019","7,023.52","6,969.37","7,029.77","6,967.94","206.73M","0.91%"
"02/04/2019","6,959.96","6,876.56","6,960.97","6,872.60","177.35M","1.23%"
"02/01/2019","6,875.52","6,872.73","6,921.95","6,857.31","220.67M","-0.45%"
"01/31/2019","6,906.84","6,840.93","6,936.34","6,837.92","327.55M","1.45%"
"01/30/2019","6,807.91","6,708.56","6,826.92","6,688.33","246.70M","2.64%"
"01/29/2019","6,632.79","6,695.71","6,701.47","6,613.42","183.31M","-0.96%"
"01/28/2019","6,697.09","6,691.84","6,697.53","6,644.31","216.55M","-1.33%"
"01/25/2019","6,787.37","6,755.67","6,800.97","6,733.32","246.85M","1.27%"
"01/24/2019","6,702.55","6,680.34","6,710.73","6,656.52","230.49M","0.66%"
"01/23/2019","6,658.76","6,689.08","6,712.86","6,584.50","197.17M","0.18%"
"01/22/2019","6,646.81","6,736.65","6,738.57","6,603.56","246.40M","-2.03%"
"01/18/2019","6,784.61","6,771.52","6,816.23","6,727.94","253.24M","0.98%"
"01/17/2019","6,718.45","6,646.19","6,747.28","6,637.10","171.13M","0.75%"
"01/16/2019","6,668.56","6,677.38","6,720.40","6,665.05","175.73M","-0.02%"
"01/15/2019","6,669.64","6,571.15","6,674.53","6,567.32","173.90M","1.97%"
"01/14/2019","6,541.04","6,536.37","6,566.87","6,512.64","177.78M","-0.91%"
"01/11/2019","6,601.40","6,579.89","6,604.56","6,562.04","173.53M","-0.30%"
"01/10/2019","6,620.94","6,551.05","6,625.11","6,517.55","192.69M","0.31%"
"01/09/2019","6,600.69","6,576.54","6,631.06","6,549.44","223.36M","0.75%"
"01/08/2019","6,551.85","6,555.91","6,574.73","6,457.00","219.26M","0.98%"
